 param_v,     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n
       0,       1,0.07812500,    2.3612,   0.46800,   0.89133,   3.08473,   0.01400,    1.3362
       0,       2,0.09375000,    2.3704,   0.26212,   0.00000,   0.12918,   0.01100,    2.3485
       0,       3,0.03125000,    2.3614,   0.26101,   0.00000,   0.14300,   0.00600,    3.0955
       0,       4,0.14062500,    2.3732,   0.22863,   0.00000,   0.13200,   0.00600,    3.8883
       0,       5,0.07812500,    2.3423,   0.42861,   0.00000,   0.14009,   0.00500,    4.5396
      13,       6,0.06250000,    2.3301,   0.34971,   0.17700,   0.17300,   0.01100,    5.1622
      13,       7,0.12500000,    2.3373,   0.44257,   0.00000,   0.23500,   0.00800,    5.7031
      13,       8,0.04687500,    2.4029,   0.35044,   0.00000,   0.21032,   0.00500,    5.7058
      13,       9,0.15625000,    2.2932,   0.33866,   0.00000,   0.16522,   0.00500,    6.2875
      13,      10,0.10937500,    2.2721,   0.40000,   0.00000,   0.22500,   0.01700,    7.0347
      26,      11,0.28125000,    2.0612,   0.19840,   0.15600,   0.12559,   0.00800,    7.3161
      26,      12,0.10937500,    2.2830,   0.25579,   0.00000,   0.14282,   0.00600,    6.0142
      26,      13,0.14062500,    2.2178,   0.26720,   0.00000,   0.17423,   0.00599,    7.2525
      26,      14,0.10937500,    2.3125,   0.30922,   0.00000,   0.15942,   0.00507,    8.0364
      26,      15,0.20312500,    2.2295,   0.45801,   0.00000,   0.26052,   0.00600,    7.6021
      37,      16,0.28125000,    2.0228,   0.34265,   0.30377,   0.18963,   0.00450,    7.7998
      37,      17,0.17187500,    2.1925,   0.43861,   0.00000,   0.20618,   0.00700,    8.5506
      37,      18,0.17187500,    2.2536,   0.23610,   0.00000,   0.12670,   0.00562,    8.2290
      37,      19,0.23437500,    2.0891,   0.39604,   0.00000,   0.26240,   0.00804,    8.7355
      37,      20,0.18750000,    2.1630,   0.43604,   0.00000,   0.15786,   0.00704,    8.6089
      50,      21,0.45312500,    1.6877,   0.34455,   0.15086,   0.19633,   0.00500,    8.5282
      50,      22,0.29687500,    1.8907,   0.32771,   0.00000,   0.15944,   0.00552,    8.3940
      50,      23,0.26562500,    2.0058,   0.35411,   0.00000,   0.20147,   0.00900,    9.1882
      50,      24,0.25000000,    2.1959,   0.31464,   0.00000,   0.21036,   0.00500,    8.4250
      50,      25,0.17187500,    2.3793,   0.52060,   0.00000,   0.16004,   0.00600,    7.8034
      63,      26,0.34375000,    1.8351,   0.39329,   0.16399,   0.19100,   0.00600,    8.8183
      63,      27,0.32812500,    1.8290,   0.48723,   0.00000,   0.21300,   0.01000,    9.1103
      63,      28,0.28125000,    2.0506,   0.32500,   0.00000,   0.15700,   0.01108,    8.4701
      63,      29,0.25000000,    2.1940,   0.39793,   0.00000,   0.24200,   0.01100,    8.5383
      63,      30,0.26562500,    2.0303,   0.38419,   0.00000,   0.19200,   0.00500,    8.6809
      78,      31,0.46875000,    1.8070,   0.24878,   0.18500,   0.11099,   0.00500,    9.2115
      78,      32,0.37500000,    1.9135,   0.46700,   0.00000,   0.15300,   0.00500,    9.1419
      78,      33,0.37500000,    2.0187,   0.44920,   0.00000,   0.21256,   0.01100,    9.5781
      78,      34,0.14062500,    2.0783,   0.36122,   0.00000,   0.20000,   0.00500,    9.5265
      78,      35,0.42187500,    1.8827,   0.39500,   0.00000,   0.23685,   0.01100,    9.5436
      91,      36,0.48437500,    1.6800,   0.35563,   0.17200,   0.18600,   0.01100,    9.1840
      91,      37,0.40625000,    1.6783,   0.39300,   0.00000,   0.24500,   0.01100,    9.4627
      91,      38,0.39062500,    1.7863,   0.37699,   0.00000,   0.20271,   0.00500,    9.5225
      91,      39,0.28125000,    1.8872,   0.39967,   0.00000,   0.22367,   0.01401,    9.4688
      91,      40,0.28125000,    1.8744,   0.33204,   0.00000,   0.18900,   0.00500,    9.2481
     104,      41,0.50000000,    1.6090,   0.43501,   0.17200,   0.10957,   0.00500,    8.6341
     104,      42,0.37500000,    1.7431,   0.38032,   0.00000,   0.23700,   0.01200,    9.3775
     104,      43,0.34375000,    1.7062,   0.39312,   0.00000,   0.23723,   0.01201,    9.7753
     104,      44,0.29687500,    1.9859,   0.31726,   0.00000,   0.18901,   0.00600,    9.0058
     104,      45,0.28125000,    1.8987,   0.32300,   0.00000,   0.17700,   0.00500,   10.5163
     117,      46,0.46875000,    1.6013,   0.44500,   0.16600,   0.11365,   0.00700,   10.4455
     117,      47,0.43750000,    1.6491,   0.18001,   0.00000,   0.15600,   0.00500,    9.5126
     117,      48,0.34375000,    1.9201,   0.26833,   0.00000,   0.16102,   0.00500,    9.8320
     117,      49,0.40625000,    1.6890,   0.46300,   0.00000,   0.14800,   0.00600,   10.4077
     117,      50,0.50000000,    1.6979,   0.43700,   0.00000,   0.22941,   0.01300,    9.8133
     130,      51,0.43750000,    1.5929,   0.59100,   0.24200,   0.15263,   0.00500,   10.3314
     130,      52,0.42187500,    1.6531,   0.31229,   0.00000,   0.19000,   0.00901,   10.8587
     130,      53,0.42187500,    1.6152,   0.34892,   0.00000,   0.17379,   0.00600,    9.8205
     130,      54,0.39062500,    1.6678,   0.29294,   0.00000,   0.11300,   0.00400,    9.7976
     130,      55,0.46875000,    1.5864,   0.34747,   0.00000,   0.16600,   0.00500,    9.8904
     143,      56,0.29687500,    1.7208,   0.30877,   0.16916,   0.19247,   0.01355,   10.4498
     143,      57,0.35937500,    1.6946,   0.46909,   0.00000,   0.18000,   0.01600,   10.1632
     143,      58,0.37500000,    1.5799,   0.37965,   0.00000,   0.20262,   0.00500,   10.0218
     143,      59,0.29687500,    1.8721,   0.37730,   0.00000,   0.16000,   0.00500,    9.4229
     143,      60,0.42187500,    1.6395,   0.38400,   0.00000,   0.24700,   0.01200,    9.4700
     156,      61,0.42187500,    1.6634,   0.42900,   0.18300,   0.17442,   0.01400,   10.9238
     156,      62,0.42187500,    1.5390,   0.38561,   0.00000,   0.20300,   0.00400,    9.3362
     156,      63,0.45312500,    1.5358,   0.45039,   0.00000,   0.18400,   0.00669,   10.5772
