 param_v,     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n
       0,       1,0.17187500,    2.3636,   0.17100,   0.16099,   1.17667,   0.00500,    1.3437
       0,       2,0.09375000,    2.3896,   0.38317,   0.00000,   1.03809,   0.00300,    2.4387
       0,       3,0.09375000,    2.3810,   0.46461,   0.00000,   1.10485,   0.00400,    3.1079
       0,       4,0.12500000,    2.3106,   0.44070,   0.00000,   1.07171,   0.00300,    3.8495
       0,       5,0.03125000,    2.3364,   0.19100,   0.00000,   1.04952,   0.00300,    4.3605
      24,       6,0.12500000,    2.2546,   0.22341,   0.12604,   1.05931,   0.00300,    4.9081
      24,       7,0.15625000,    2.2785,   0.66104,   0.00000,   1.07553,   0.00300,    5.3675
      24,       8,0.14062500,    2.2564,   0.37164,   0.00000,   1.06305,   0.00300,    5.6469
      24,       9,0.12500000,    2.3404,   0.52743,   0.00000,   1.06833,   0.00300,    6.3835
      24,      10,0.10937500,    2.2725,   0.19098,   0.00000,   1.05858,   0.00300,    6.7663
      57,      11,0.15625000,    2.0967,   0.47551,   0.13184,   1.06840,   0.00200,    6.5434
      57,      12,0.17187500,    2.1050,   0.39900,   0.00000,   1.06552,   0.00300,    6.8875
      57,      13,0.26562500,    2.0423,   0.25100,   0.00000,   1.06900,   0.00400,    7.1313
      57,      14,0.21875000,    2.0720,   0.54700,   0.00000,   1.11397,   0.00300,    7.3318
      57,      15,0.21875000,    2.1010,   0.19686,   0.00000,   1.06398,   0.00300,    7.3673
      89,      16,0.31250000,    2.0073,   0.20300,   0.14201,   1.04862,   0.00300,    7.9350
      89,      17,0.25000000,    1.8950,   0.20568,   0.00000,   1.06870,   0.00400,   10.6530
      89,      18,0.39062500,    1.9644,   0.46057,   0.00000,   1.05471,   0.00300,    7.8044
      89,      19,0.23437500,    1.9550,   0.37914,   0.00000,   1.08255,   0.00200,    8.0178
      89,      20,0.25000000,    2.0290,   0.31563,   0.00000,   1.08426,   0.00302,    8.0935
     119,      21,0.21875000,    1.9615,   0.42000,   0.11803,   1.09033,   0.00500,    8.2688
     119,      22,0.35937500,    1.8710,   0.46708,   0.00000,   1.07696,   0.00400,    8.4312
     119,      23,0.29687500,    1.8553,   0.45900,   0.00000,   1.06100,   0.00200,    7.8708
     119,      24,0.18750000,    1.9701,   0.38100,   0.00000,   1.07735,   0.00300,    8.0686
     119,      25,0.26562500,    2.2125,   0.28506,   0.00000,   1.06236,   0.00400,   10.3784
     152,      26,0.21875000,    2.0243,   0.23304,   0.12766,   1.05749,   0.00300,    7.8790
     152,      27,0.28125000,    1.7836,   0.51590,   0.00000,   1.07780,   0.00300,    9.0805
     152,      28,0.39062500,    1.7466,   0.19820,   0.00000,   1.04949,   0.00300,    9.2823
     152,      29,0.25000000,    1.9589,   0.42400,   0.00000,   1.34676,   0.00300,    8.6823
     152,      30,0.31250000,    2.0146,   0.41318,   0.00000,   1.08109,   0.00300,    9.6935
     184,      31,0.21875000,    2.1103,   0.38600,   0.11445,   1.09027,   0.00300,    9.3232
     184,      32,0.21875000,    1.9747,   0.25007,   0.00100,   1.04357,   0.00400,    9.5089
     184,      33,0.18750000,    2.0606,   0.22669,   0.00000,   1.09849,   0.00300,    9.0930
     184,      34,0.32812500,    1.9267,   0.41491,   0.00000,   1.10840,   0.00300,    9.9257
     184,      35,0.29687500,    1.7747,   0.44485,   0.00000,   1.06993,   0.00302,    9.1677
     217,      36,0.37500000,    1.6683,   0.34646,   0.12087,   1.06099,   0.00200,    9.1809
     217,      37,0.32812500,    1.8319,   0.46615,   0.00000,   1.08440,   0.00301,   10.2612
     217,      38,0.34375000,    1.9718,   0.41134,   0.00000,   1.06210,   0.00300,   10.2780
     217,      39,0.18750000,    2.1143,   0.43188,   0.00000,   1.09634,   0.00300,    9.7882
     217,      40,0.31250000,    1.8805,   0.22357,   0.00000,   1.07418,   0.00300,   11.0701
     249,      41,0.21875000,    2.0476,   0.40515,   0.11858,   1.08557,   0.00301,    9.5554
     249,      42,0.39062500,    1.7031,   0.27900,   0.00000,   1.04855,   0.00300,    9.7704
     249,      43,0.34375000,    1.9479,   0.54538,   0.00000,   1.06625,   0.00300,   10.1628
     249,      44,0.26562500,    1.9308,   0.31700,   0.00000,   1.09400,   0.00200,    9.3674
     249,      45,0.34375000,    1.8657,   0.22900,   0.00000,   1.03682,   0.00300,    9.8362
