 param_v,     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n
     142,      66,0.17187500,    2.1525,   0.19463,   0.15000,   0.14147,   0.00600,   11.5835
     142,      67,0.28125000,    1.8331,   0.30297,   0.00000,   0.17332,   0.00500,    9.8263
     142,      68,0.31250000,    1.9223,   0.30902,   0.00000,   0.17807,   0.00600,   10.2318
     142,      69,0.29687500,    1.9870,   0.30160,   0.00000,   0.22962,   0.01300,    9.6747
     142,      70,0.23437500,    2.1263,   0.28118,   0.00000,   0.21506,   0.01200,   10.2474
     153,      71,0.29687500,    1.9813,   0.31400,   0.17512,   0.22100,   0.01100,   10.1997
     153,      72,0.29687500,    1.8382,   0.22340,   0.00000,   0.16200,   0.00400,   10.0934
     153,      73,0.23437500,    1.7977,   0.26800,   0.00000,   0.14002,   0.00400,    9.7536
     153,      74,0.28125000,    1.8566,   0.32300,   0.00000,   0.23100,   0.01300,   10.7230
     153,      75,0.31250000,    1.8140,   0.30999,   0.00000,   0.21561,   0.01200,   12.0912
     163,      76,0.23437500,    1.9006,   0.23943,   0.12405,   0.22517,   0.01267,   10.9616
     163,      77,0.32812500,    1.8457,   0.18700,   0.00000,   0.20033,   0.01200,    9.2843
     163,      78,0.29687500,    1.8765,   0.24500,   0.00000,   0.14300,   0.00700,    9.9113
     163,      79,0.28125000,    1.9245,   0.38800,   0.00000,   0.20020,   0.00600,   10.1059
     163,      80,0.34375000,    1.8751,   0.24003,   0.00000,   0.19300,   0.00500,   10.5769
     174,      81,0.20312500,    2.2166,   0.30500,   0.18711,   0.20389,   0.00574,   13.0501
     174,      82,0.26562500,    2.0822,   0.21509,   0.00000,   0.21801,   0.01099,    9.7831
     174,      83,0.28125000,    1.8696,   0.29800,   0.00000,   0.22400,   0.01200,   10.4063
     174,      84,0.29687500,    2.1581,   0.27823,   0.00000,   0.14200,   0.00700,    9.9774
     174,      85,0.35937500,    1.8298,   0.34328,   0.00000,   0.11051,   0.00500,   10.8286
     186,      86,0.26562500,    2.0621,   0.23817,   0.16902,   0.19307,   0.01300,    9.6132
     186,      87,0.18750000,    2.0093,   0.29099,   0.00000,   0.21212,   0.01501,    9.9113
     186,      88,0.31250000,    1.9168,   0.22002,   0.00000,   0.12100,   0.00500,   10.7049
     186,      89,0.25000000,    1.9787,   0.24595,   0.00000,   0.14268,   0.00752,    9.2792
     186,      90,0.39062500,    1.8341,   0.31057,   0.00000,   0.24405,   0.01203,   12.4089
     196,      91,0.31250000,    1.7626,   0.18769,   0.16573,   0.22354,   0.01300,   10.1802
     196,      92,0.32812500,    1.8825,   0.22848,   0.00000,   0.13229,   0.00700,   11.2093
     196,      93,0.18750000,    2.1319,   0.29721,   0.00000,   0.14673,   0.00700,   10.3302
     196,      94,0.29687500,    2.0789,   0.24936,   0.00000,   0.24456,   0.01201,   10.3360
     196,      95,0.32812500,    1.9046,   0.22964,   0.00000,   0.17598,   0.01455,   10.5983
     207,      96,0.25000000,    1.9539,   0.22122,   0.17159,   0.13121,   0.00606,   10.0772
     207,      97,0.18750000,    2.2219,   0.30913,   0.00000,   0.12028,   0.00400,   10.6242
     207,      98,0.28125000,    1.9468,   0.26316,   0.00000,   0.20436,   0.00500,   10.4504
     207,      99,0.35937500,    1.6873,   0.25842,   0.00000,   0.24097,   0.01153,    9.8983
     207,     100,0.20312500,    1.9669,   0.27710,   0.00000,   0.11918,   0.00400,   10.2698
     218,     101,0.28125000,    1.8771,   0.32829,   0.15666,   0.24110,   0.01400,   12.4122
     218,     102,0.26562500,    1.8794,   0.22600,   0.00000,   0.14892,   0.00500,   10.3630
     218,     103,0.29687500,    1.9463,   0.34417,   0.00000,   0.14900,   0.00400,   10.2395
     218,     104,0.37500000,    1.8115,   0.31928,   0.00000,   0.24805,   0.01300,    9.9832
     218,     105,0.25000000,    2.0126,   0.28435,   0.00000,   0.20616,   0.01100,   10.6687
     228,     106,0.26562500,    2.0978,   0.28401,   0.13655,   0.20651,   0.01251,   10.1680
     228,     107,0.39062500,    1.8117,   0.25456,   0.00000,   0.18799,   0.01200,   10.1647
     228,     108,0.25000000,    2.0152,   0.28196,   0.00000,   0.15083,   0.00600,    9.9751
     228,     109,0.29687500,    2.0244,   0.28030,   0.00000,   0.13270,   0.00601,   10.3875
     228,     110,0.35937500,    1.8474,   0.28029,   0.00000,   0.20906,   0.00500,    9.9613
     239,     111,0.35937500,    1.8948,   0.33655,   0.17100,   0.18500,   0.01100,   10.6679
     239,     112,0.29687500,    2.1420,   0.22464,   0.00000,   0.22547,   0.01200,   11.3517
     239,     113,0.35937500,    1.8435,   0.20926,   0.00000,   0.19513,   0.01200,    9.1413
     239,     114,0.26562500,    1.9576,   0.23200,   0.00000,   0.14300,   0.00600,   10.5057
     239,     115,0.23437500,    1.8165,   0.29715,   0.00000,   0.16700,   0.00600,   11.0952
     250,     116,0.31250000,    1.9521,   0.24599,   0.17400,   0.17000,   0.00501,   10.1010
     250,     117,0.29687500,    2.0189,   0.29614,   0.00000,   0.22057,   0.01100,    9.8479
     250,     118,0.34375000,    1.9065,   0.19100,   0.00000,   0.11502,   0.00400,    9.6648
     250,     119,0.29687500,    1.9683,   0.27748,   0.00000,   0.15307,   0.00500,    9.1754
     250,     120,0.20312500,    1.8943,   0.26500,   0.00000,   0.20499,   0.00600,    9.9945
     260,     121,0.31250000,    1.7727,   0.23825,   0.14900,   0.17100,   0.01800,   12.1030
     260,     122,0.25000000,    2.1077,   0.22100,   0.00000,   0.14200,   0.02400,    9.7840
     260,     123,0.40625000,    1.7697,   0.31154,   0.00000,   0.18200,   0.01600,   10.6181
     260,     124,0.29687500,    1.8568,   0.28283,   0.00000,   0.11800,   0.00500,    9.8589
     260,     125,0.29687500,    1.7577,   0.20600,   0.00000,   0.13900,   0.01000,    9.9122
     272,     126,0.42187500,    1.7379,   0.24300,   0.16100,   0.13700,   0.00600,   10.0009
     272,     127,0.35937500,    1.7747,   0.34500,   0.00000,   0.14200,   0.00600,   10.7827
     272,     128,0.20312500,    2.0843,   0.30600,   0.00000,   0.21449,   0.00599,   10.3885
     272,     129,0.25000000,    1.8209,   0.28071,   0.00000,   0.21500,   0.01300,    9.6136
     272,     130,0.29687500,    1.7939,   0.28445,   0.00000,   0.22163,   0.01100,    9.7977
     283,     131,0.37500000,    1.8822,   0.19101,   0.16959,   0.24631,   0.01201,   10.0367
