     stp,     trn_a,     trn_l, time_send, time_recv, time_calc, time_eval,     grd_n,        cr
      62,0.26562500,    1.9764,   0.05800,   0.15647,   0.10500,   0.00500,    5.7010,0.50000000
      63,0.34375000,    1.8748,   0.11500,   0.11300,   0.13300,   0.05100,    5.3838,0.50000000
      64,0.21875000,    2.0418,   0.05900,   0.07700,   0.12506,   0.00500,    5.4161,0.50000000
      65,0.25000000,    1.9197,   0.11300,   0.10399,   0.12000,   0.00500,    5.2741,0.50000000
      66,0.35937500,    1.9299,   0.11300,   0.14200,   0.12500,   0.04600,    5.2785,0.50000000
      67,0.34375000,    1.8894,   0.05900,   0.08452,   0.10523,   0.00500,    5.0957,0.50000000
      68,0.15625000,    1.9741,   0.10400,   0.09600,   0.10900,   0.00400,    5.4864,0.50000000
      69,0.40625000,    1.8188,   0.11101,   0.14600,   0.12900,   0.05400,    5.0486,0.50000000
      70,0.26562500,    1.8810,   0.12000,   0.08113,   0.12359,   0.00900,    5.3397,0.50000000
      71,0.34375000,    1.8465,   0.06000,   0.08300,   0.10400,   0.00500,    5.3216,0.50000000
      72,0.37500000,    1.8148,   0.10600,   0.09300,   0.12200,   0.00500,    5.0412,0.50000000
      73,0.39062500,    1.6466,   0.08374,   0.14767,   0.11257,   0.00499,    4.9489,0.50000000
      74,0.26562500,    2.0444,   0.11430,   0.13917,   0.11204,   0.00800,    5.1429,0.50000000
      75,0.32812500,    1.9295,   0.10957,   0.08480,   0.13764,   0.00899,    5.3115,0.50000000
      76,0.29687500,    1.8517,   0.07726,   0.08105,   0.10854,   0.00500,    4.8145,0.50000000
      77,0.42187500,    1.5897,   0.05903,   0.08759,   0.10945,   0.00500,    4.7923,0.50000000
      78,0.34375000,    1.7708,   0.10205,   0.09961,   0.10973,   0.00800,    5.0903,0.50000000
      79,0.34375000,    2.0010,   0.12431,   0.08206,   0.11470,   0.00801,    5.5635,0.50000000
      80,0.35937500,    1.7183,   0.12997,   0.07625,   0.11764,   0.00700,    5.3420,0.50000000
      81,0.29687500,    1.8975,   0.12877,   0.08187,   0.11628,   0.00700,    5.3131,0.50000000
      82,0.28125000,    1.8626,   0.13766,   0.07654,   0.11645,   0.00751,    5.1097,0.50000000
      83,0.34375000,    1.8181,   0.10413,   0.07489,   0.10697,   0.00500,    5.0927,0.50000000
      84,0.31250000,    1.9466,   0.07386,   0.08586,   0.10520,   0.00503,    5.2118,0.50000000
      85,0.26562500,    2.1016,   0.12920,   0.10272,   0.12214,   0.00700,    5.0769,0.50000000
      86,0.28125000,    1.9049,   0.09819,   0.08462,   0.11027,   0.00604,    5.3631,0.50000000
      87,0.29687500,    1.9908,   0.07441,   0.08833,   0.10765,   0.00500,    5.0651,0.50000000
      88,0.39062500,    1.7785,   0.06607,   0.09171,   0.10502,   0.00400,    4.7900,0.50000000
      89,0.29687500,    1.8400,   0.06637,   0.12247,   0.10459,   0.00500,    4.8797,0.50000000
      90,0.25000000,    1.9100,   0.08372,   0.12289,   0.10561,   0.00351,    4.8513,0.50000000
      91,0.26562500,    2.1754,   0.08355,   0.13445,   0.11697,   0.00400,    5.3363,0.50000000
      92,0.23437500,    2.0119,   0.07958,   0.12363,   0.10504,   0.00451,    5.0327,0.50000000
      93,0.32812500,    2.0531,   0.08126,   0.12768,   0.12563,   0.00600,    5.1074,0.50000000
      94,0.25000000,    1.8997,   0.08416,   0.11863,   0.10891,   0.00451,    4.9941,0.50000000
      95,0.29687500,    1.7236,   0.08410,   0.12641,   0.11005,   0.00400,    4.6745,0.50000000
      96,0.37500000,    1.9625,   0.10913,   0.12607,   0.12716,   0.00499,    4.9259,0.50000000
      97,0.32812500,    1.7623,   0.14172,   0.13723,   0.13027,   0.00901,    4.7420,0.50000000
      98,0.29687500,    1.9230,   0.07806,   0.07502,   0.10745,   0.00600,    4.9052,0.50000000
      99,0.35937500,    1.7662,   0.06405,   0.09535,   0.11590,   0.00600,    4.5305,0.50000000
     100,0.34375000,    1.8442,   0.09351,   0.10986,   0.11923,   0.00472,    4.6075,0.50000000
     101,0.25000000,    1.9105,   0.09867,   0.13189,   0.10817,   0.00451,    4.9410,0.50000000
     102,0.35937500,    1.9910,   0.10324,   0.12664,   0.11762,   0.00401,    4.9221,0.50000000
     103,0.31250000,    1.8225,   0.09853,   0.13798,   0.12132,   0.00601,    5.0408,0.50000000
     104,0.34375000,    1.6882,   0.13124,   0.07704,   0.13412,   0.00751,    4.8532,0.50000000
     105,0.17187500,    2.0290,   0.10865,   0.06917,   0.12703,   0.04855,    4.8761,0.50000000
     106,0.32812500,    2.0734,   0.05906,   0.08321,   0.10360,   0.00400,    5.2010,0.50000000
     107,0.32812500,    1.5340,   0.10494,   0.09320,   0.11088,   0.00451,    4.2508,0.50000000
     108,0.34375000,    1.7692,   0.10906,   0.12404,   0.12158,   0.00499,    4.4626,0.50000000
     109,0.43750000,    1.5235,   0.06001,   0.14102,   0.10698,   0.00500,    4.1187,0.50000000
     110,0.39062500,    1.6927,   0.10200,   0.09399,   0.11657,   0.00400,    4.5656,0.50000000
     111,0.37500000,    1.8892,   0.11930,   0.12300,   0.12700,   0.00400,    5.0074,0.50000000
     112,0.29687500,    1.9111,   0.14000,   0.13901,   0.12300,   0.00900,    4.8602,0.50000000
     113,0.15625000,    2.0708,   0.05800,   0.07700,   0.10800,   0.00400,    5.0709,0.50000000
     114,0.32812500,    1.7945,   0.07002,   0.10200,   0.12200,   0.01200,    4.8529,0.50000000
     115,0.25000000,    2.1340,   0.12200,   0.13000,   0.13000,   0.04600,    5.1250,0.50000000
     116,0.29687500,    1.8439,   0.08900,   0.07700,   0.12000,   0.04600,    4.9901,0.50000000
     117,0.39062500,    1.6627,   0.13200,   0.08300,   0.11800,   0.00800,    4.4024,0.50000000
     118,0.37500000,    1.7018,   0.05900,   0.07900,   0.11000,   0.00400,    4.3701,0.50000000
     119,0.31250000,    1.7494,   0.08301,   0.10200,   0.09700,   0.00500,    4.4860,0.50000000
     120,0.34375000,    1.8356,   0.07854,   0.13300,   0.10459,   0.00599,    5.1713,0.50000000
     121,0.34375000,    1.8076,   0.11809,   0.14404,   0.11710,   0.00983,    4.4674,0.50000000
     122,0.31250000,    1.7797,   0.12701,   0.08604,   0.11712,   0.00700,    4.3692,0.50000000
     123,0.35937500,    1.7201,   0.13100,   0.08401,   0.12202,   0.00700,    4.6638,0.50000000
     124,0.32812500,    1.7727,   0.05803,   0.08385,   0.10406,   0.00402,    4.4407,0.50000000
     125,0.31250000,    1.8053,   0.08801,   0.09300,   0.10201,   0.00400,    4.6875,0.50000000
     126,0.29687500,    1.8787,   0.10400,   0.14599,   0.10311,   0.00401,    4.4164,0.50000000
     127,0.43750000,    1.5851,   0.06100,   0.14300,   0.11100,   0.00500,    4.5643,0.50000000
     128,0.37500000,    1.6794,   0.08518,   0.09600,   0.11200,   0.00500,    4.7318,0.50000000
     129,0.29687500,    1.7534,   0.11200,   0.13800,   0.11799,   0.00700,    5.0170,0.50000000
     130,0.43750000,    1.7744,   0.10100,   0.08500,   0.11400,   0.00700,    4.8536,0.50000000
     131,0.28125000,    2.2478,   0.11100,   0.09200,   0.11200,   0.00700,    5.5007,0.50000000
     132,0.32812500,    1.8192,   0.12601,   0.08900,   0.11303,   0.00800,    4.7461,0.50000000
     133,0.31250000,    1.8360,   0.10000,   0.07600,   0.10800,   0.00600,    4.2953,0.50000000
     134,0.40625000,    1.6548,   0.10000,   0.08600,   0.11600,   0.00400,    4.1518,0.50000000
     135,0.37500000,    1.7656,   0.06000,   0.08900,   0.10752,   0.00400,    4.2852,0.50000000
     136,0.35937500,    1.7858,   0.06200,   0.09800,   0.10000,   0.00600,    4.6800,0.50000000
     137,0.34375000,    1.6863,   0.08400,   0.10200,   0.10000,   0.00500,    4.5643,0.50000000
     138,0.28125000,    1.7840,   0.07202,   0.13000,   0.09900,   0.01000,    4.9464,0.50000000
     139,0.35937500,    1.7992,   0.08400,   0.11700,   0.10100,   0.00400,    4.6439,0.50000000
     140,0.34375000,    1.6750,   0.09601,   0.15176,   0.12100,   0.00400,    4.5723,0.50000000
     141,0.39062500,    1.6472,   0.10501,   0.12400,   0.11912,   0.00400,    4.4379,0.50000000
     142,0.29687500,    1.9659,   0.12700,   0.14000,   0.11700,   0.01100,    4.3739,0.50000000
     143,0.39062500,    1.7725,   0.14066,   0.07800,   0.13472,   0.00914,    4.7293,0.50000000
     144,0.39062500,    1.6182,   0.06000,   0.07800,   0.12400,   0.00500,    4.5887,0.50000000
     145,0.34375000,    1.8089,   0.07500,   0.09200,   0.10500,   0.00800,    4.6883,0.50000000
     146,0.32812500,    2.0268,   0.09700,   0.12400,   0.12600,   0.00400,    5.0406,0.50000000
     147,0.35937500,    1.6417,   0.13400,   0.14200,   0.11700,   0.01000,    4.6923,0.50000000
     148,0.48437500,    1.7479,   0.05900,   0.07500,   0.10800,   0.00500,    4.4982,0.50000000
     149,0.37500000,    1.5700,   0.08900,   0.09000,   0.09800,   0.00400,    4.1184,0.50000000
     150,0.31250000,    1.8806,   0.07600,   0.13300,   0.10600,   0.01200,    4.3472,0.50000000
     151,0.21875000,    1.8403,   0.13500,   0.13000,   0.12300,   0.01000,    4.7584,0.50000000
     152,0.48437500,    1.8029,   0.05800,   0.07400,   0.11300,   0.00700,    4.7187,0.50000000
     153,0.25000000,    1.9995,   0.08535,   0.09100,   0.10286,   0.00401,    4.7985,0.50000000
     154,0.26562500,    1.9038,   0.11009,   0.13401,   0.12407,   0.00399,    4.8828,0.50000000
     155,0.28125000,    1.9348,   0.07608,   0.12311,   0.13002,   0.00700,    5.5751,0.50000000
     156,0.40625000,    1.7595,   0.11130,   0.12184,   0.12759,   0.00401,    4.8063,0.50000000
     157,0.28125000,    1.6609,   0.13912,   0.14013,   0.11812,   0.00801,    4.4981,0.50000000
